name,loglikelihood,aic,bic
AR-t,-8636.864874158113,17287.729748316226,17335.10323235703
AR-skewt,-8588.332944050424,17192.665888100848,17246.80701271891
Constant-t,-8643.030374125608,17298.060748251217,17338.667525784975
Constant-skewt,-8598.265445768073,17210.530891536146,17257.905465325533
